inspection_id,project_id,inspection_date,inspector_name,inspector_id,inspection_type,result,score_out_of_100,deficiencies_found,reinspection_required,reinspection_date,regulatory_body,notes
271,76,2024/10/12,E. Hoffman,INS-31127,Interim Progress,Pass with Conditions,86,3,YES,2025/05/28,EPA,Closed
272,76,2019-01-04,I. Jackson,INS-87807,Plumbing,Pass with Conditions,67,3,Y,09/25/2020,OSHA,
273,77,30/07/2024,R. Patel,INS-89587,Quality Control,Pass,,0,No,,EPA,
274,77,2021/08/23,C. Richardson,INS-89054,Final Walkthrough,Pass,90,0,N,,State DOT,Escalated to state
275,77,26/03/2024,M. Chen,,Interim Progress,Pass,63,1,N,,OSHA,Closed
276,77,,I. Jackson,INS-37526,Final Walkthrough,Pass with Conditions,59,2,Y,03/02/2023,State DEP,Cited violation
277,77,10/03/2024,S. Williams,INS-57671,Environmental Compliance,Fail,60,4,yes,,FTA,
278,77,09/02/2019,S. Williams,INS-76811,Final Walkthrough,Pass,60,0,N,,FAA,Escalated to state
279,78,21/01/2021,S. Williams,INS-36518,Quality Control,FAIL,74,1,N,,Local Building Dept,Follow-up required
280,78,04-02-2021,I. Jackson,INS-97314,Quality Control,Pass,100,3,N,,FTA,
281,78,04-22-2019,G. Martinez,,Fire Safety,fail,65,3,N,,FHWA,Closed
282,78,09-18-2024,B. Torres,INS-18392,Structural,Pass,87,2,N,,EPA,Follow-up required
283,78,04/07/2021,H. Lee,INS-10477,Quality Control,Pass,64,2,N,12/05/2025,FHWA,
284,78,18/09/2024,S. Williams,INS-54266,Structural,Pass,68,3,YES,,OSHA,
285,79,2019-12-06,R. Patel,,Structural,,91,3,N,,Army Corps,
286,79,2025-04-14,K. O'Brien,INS-86901,Interim Progress,Deferred,66,0,N,,FTA,Escalated to state
287,80,2023/05/06,H. Lee,N/A,Routine Safety,,58,1,N,,EPA,Closed
288,80,2019-08-13,I. Jackson,INS-36405,Electrical,Pass,77,1,YES,,FTA,
289,80,01/21/2020,G. Martinez,INS-10159,Final Walkthrough,Pass,99,3,N,,FHWA,
290,80,05/11/2022,A. Nguyen,INS-97962,Final Walkthrough,Pass,64,1,N,,State DOT,Escalated to state
291,81,07/03/2020,G. Martinez,INS-27942,Structural,Pass,,0,N,,Army Corps,
292,81,,S. Williams,INS-47969,Interim Progress,Pass,72,0,no,,FHWA,
293,81,02/05/2019,S. Williams,INS-78418,Quality Control,Pass,95,2,N,,FTA,
294,81,2021-09-01,I. Jackson,INS-87452,Final Walkthrough,Pass,79,1,N,,OSHA,
295,82,2024-08-01,D. Freeman,INS-23618,Plumbing,Fail,44,0,Y,,FAA,Cited violation
296,82,2023/08/14,H. Lee,INS-54255,Environmental Compliance,Pass with Conditions,,3,Y,06/23/2019,State DOT,Closed
297,82,30/11/2021,G. Martinez,INS-95802,Interim Progress,Pass,60,,N,,State DEP,Closed
298,82,04/16/2019,S. Williams,INS-80173,Structural,Pass,79,3,N,,Local Building Dept,Closed
299,83,2023-09-10,R. Patel,INS-35255,Final Walkthrough,Pass With Conditions,75,3,N,,FAA,
300,84,07/02/2024,H. Lee,INS-71125,Routine Safety,Pass,96,1,N,,EPA,Escalated to state
301,84,03/08/2024,B. Torres,INS-82003,Quality Control,Pass with Conditions,84,2,Y,03-04-2023,OSHA,Escalated to state
302,84,03-04-2020,B. Torres,?,Interim Progress,Pass,83,3,N,,State DOT,
303,85,12/08/2019,I. Jackson,INS-90277,Interim Progress,Pass,91,1,N,,FHWA,
304,85,2024-07-26,S. Williams,INS-58807,Interim Progress,Pass,85,0,N,,OSHA,Closed
305,85,2021-03-31,B. Torres,INS-42967,Interim Progress,Pass with Conditions,93,3,Y,2024-01-31,EPA,Escalated to state
306,85,,B. Torres,INS-63259,Final Walkthrough,Pass,77,3,N,,Local Building Dept,Escalated to state
307,85,04/07/2024,G. Martinez,INS-45224,Electrical,Pass,,2,N,,Local Building Dept,Cited violation
308,85,04/19/2023,H. Lee,INS-27593,Quality Control,Deferred,78,0,Y,16/06/2024,State DEP,
309,86,18/04/2024,S. Williams,INS-90224,Structural,Pass with Conditions,96,1,Y,2022/09/10,Local Building Dept,
310,86,2023/10/11,E. Hoffman,INS-71025,Environmental Compliance,Pass,95,1,Y,,State DOT,Escalated to state
311,86,03/12/2019,E. Hoffman,INS-38560,Environmental Compliance,Pass with Conditions,65,3,Y,04-28-2023,Local Building Dept,
312,86,2019/03/26,G. Martinez,INS-62450,Interim Progress,fail,42,1,Y,2021/03/28,FHWA,
313,86,2020-03-14,B. Torres,,Environmental Compliance,Pass,91,3,N,,FAA,
314,87,03/30/2019,H. Lee,INS-62898,Fire Safety,Fail,53,0,Y,05/03/2022,EPA,Cited violation
315,87,07/19/2023,G. Martinez,?,Interim Progress,Pass,62,0,Y,2023-06-06,State DOT,
316,87,01-11-2022,S. Williams,INS-27973,Quality Control,Pass,55,2,Y,2022/03/31,EPA,
317,88,2020/03/05,I. Jackson,INS-89359,Structural,,76,2,N,,Army Corps,Closed
318,88,02/05/2020,B. Torres,INS-95812,Environmental Compliance,Pass,65,2,N,,FHWA,Cited violation
319,88,13/12/2020,M. Chen,INS-77139,Environmental Compliance,Pass,67,0,N,,State DEP,Closed
320,88,13/04/2025,D. Freeman,INS-77896,Final Walkthrough,Pass,?,1,N,,State DEP,
321,89,03/02/2019,H. Lee,INS-94705,Interim Progress,Pass,85,0,no,,OSHA,Follow-up required
322,89,01/12/2024,D. Freeman,INS-14707,Final Walkthrough,Pass,76,0,N,,OSHA,
323,89,2023-07-08,D. Freeman,,Environmental Compliance,Pass,81,1,N,,Local Building Dept,Closed
324,89,11-13-2020,H. Lee,INS-30966,Environmental Compliance,Pass,63,2,Y,08/25/2022,FHWA,
325,89,12/11/2020,E. Hoffman,,Structural,Pass,60,2,,,FAA,Escalated to state
326,90,2022-07-21,A. Nguyen,INS-96091,Quality Control,Pass with Conditions,85,0,Y,,Army Corps,
327,90,06/04/2025,A. Nguyen,INS-55729,Structural,Fail,34,6,Y,04-27-2022,OSHA,
328,90,2019/05/12,M. Chen,,Plumbing,Pass,62,1,no,06/11/2024,FAA,Closed
329,90,03/02/2024,C. Richardson,INS-93853,Routine Safety,Deferred,n/a,1,N,,EPA,
330,91,2019/04/29,J. Kowalski,TBD,Final Walkthrough,PASS,63,6,Y,10/08/2020,FHWA,Escalated to state
331,91,2025-03-14,G. Martinez,INS-63623,Structural,Pass,60,2,N,,State DOT,Escalated to state
332,91,09/28/2019,J. Kowalski,INS-18806,Quality Control,Pass,56,3,N,,EPA,Follow-up required
333,91,03/02/2021,J. Kowalski,INS-38025,Electrical,Pass,55,2,N,,FAA,Follow-up required
334,92,2019-01-17,G. Martinez,,Electrical,Pass,62,2,Y,,State DOT,
335,92,09-16-2023,S. Williams,INS-54940,Electrical,FAIL,63,2,Y,05-14-2019,OSHA,Cited violation
336,92,,E. Hoffman,INS-18813,Routine Safety,Pass,65,3,N,,FAA,Closed
337,92,2023/10/20,B. Torres,INS-97294,Environmental Compliance,Pass,TBD,2,Y,13/07/2022,State DOT,Escalated to state
338,92,2019-04-28,C. Richardson,INS-55600,Fire Safety,Pass,55,1,N,,State DEP,Escalated to state
339,93,03-04-2020,S. Williams,INS-26418,Electrical,Fail,32,5,Y,,FAA,Follow-up required
340,94,01-07-2021,D. Freeman,INS-28933,Structural,Pass,100,0,N,,Local Building Dept,
341,94,2024/10/12,C. Richardson,INS-29845,Fire Safety,Pass,,3,yes,2022-08-09,State DEP,
342,95,,H. Lee,INS-59799,Plumbing,Pass,96,3,N,,FTA,Follow-up required
343,95,2023-10-05,B. Torres,INS-67818,Fire Safety,Pass,82,3,no,,FHWA,Follow-up required
344,95,2019/11/11,B. Torres,,Structural,Pass,72,,N,,State DOT,
345,95,07/11/2020,K. O'Brien,INS-64628,Electrical,Pass,55,2,N,,EPA,
346,95,02/18/2025,J. Kowalski,INS-44785,Quality Control,Pass,75,,y,,State DEP,Cited violation
347,96,2020/12/21,B. Torres,INS-80958,Environmental Compliance,Pass,99,3,Y,,OSHA,Cited violation
348,96,2024/09/28,S. Williams,INS-88588,Environmental Compliance,Pass,73,2,N,,FTA,Follow-up required
349,96,2019-03-14,H. Lee,INS-93448,Routine Safety,Pass,90,2,N,,Army Corps,
350,97,2020-09-28,E. Hoffman,INS-77210,Electrical,Pass,86,N/A,N,,FAA,Closed
351,97,2020-09-30,A. Nguyen,INS-19036,Environmental Compliance,Pass,86,0,Y,04/19/2024,Local Building Dept,Escalated to state
352,97,2024/03/09,M. Chen,INS-76418,Environmental Compliance,pass,94,3,N,,OSHA,Closed
353,97,08-05-2020,B. Torres,INS-45694,Interim Progress,Pass,67,2,Y,,FHWA,
354,98,2023/11/17,S. Williams,INS-71918,Electrical,Pass,70,0,N,,State DEP,
355,98,2019/02/02,C. Richardson,INS-89597,Plumbing,Pass,71,2,N,,FTA,
356,98,09/11/2022,H. Lee,INS-61950,Final Walkthrough,pass,62,0,Y,10/03/2024,OSHA,
357,98,04/01/2020,S. Williams,INS-11331,Quality Control,Pass,95,2,Y,,FAA,Closed
358,99,2020-08-20,C. Richardson,,Quality Control,Pass,,3,Y,,OSHA,
359,99,06-12-2023,E. Hoffman,INS-52612,Plumbing,Pass,74,1,Y,09/08/2021,Local Building Dept,Escalated to state
360,99,23/01/2021,B. Torres,INS-18783,Quality Control,Pass,83,0,N,,EPA,
361,100,01-09-2021,M. Chen,INS-31206,Structural,Pass,63,0,Y,2024-11-08,EPA,Closed
362,100,07-21-2020,R. Patel,INS-67537,Structural,Fail,56,1,Y,,State DOT,Follow-up required
363,100,,H. Lee,INS-99859,Interim Progress,Pass,78,1,N,,Local Building Dept,
364,100,2021-10-28,I. Jackson,INS-35848,Structural,pass,46,,Y,,OSHA,Cited violation
365,100,2025-05-31,D. Freeman,,Plumbing,Pass,,1,N,,FAA,
366,101,2022-03-11,M. Chen,INS-66918,Electrical,Pass,68,1,N,,Local Building Dept,Follow-up required
367,101,03/08/2021,B. Torres,?,Quality Control,Pass,65,2,y,,FHWA,Closed
368,101,03/11/2019,A. Nguyen,,Environmental Compliance,Pass,89,2,N,,State DEP,
369,101,2021/11/09,D. Freeman,INS-84415,Final Walkthrough,Pass,79,3,Y,2022/07/05,Local Building Dept,Escalated to state
370,101,02-15-2023,G. Martinez,INS-94572,Fire Safety,Fail,61,6,Y,,FTA,Cited violation
371,101,,R. Patel,INS-38693,Interim Progress,Pass,92,0,N,,EPA,Cited violation
372,102,2024/05/19,K. O'Brien,INS-27406,Environmental Compliance,Pass,58,1,N,,State DEP,Escalated to state
373,102,2021-03-10,H. Lee,INS-19302,Final Walkthrough,Pass,66,1,No,,Local Building Dept,
374,102,03/31/2025,R. Patel,INS-58149,Plumbing,Pass,83,3,N,,FTA,Escalated to state
375,102,18/07/2020,K. O'Brien,INS-85438,Routine Safety,Pass,60,2,Y,25/04/2020,State DEP,
376,103,11-29-2021,M. Chen,INS-83722,Final Walkthrough,Pass With Conditions,97,3,N,,State DOT,Closed
377,103,2023-07-12,A. Nguyen,INS-55321,Environmental Compliance,Pass,82,0,N,,FTA,Follow-up required
378,103,,D. Freeman,INS-32778,Plumbing,Pass with Conditions,69,0,Y,22/07/2019,FHWA,Cited violation
379,105,,A. Nguyen,,Fire Safety,Pass With Conditions,,1,No,,FTA,
380,105,02-24-2022,J. Kowalski,INS-97051,Routine Safety,Fail,,7,Y,12/08/2020,State DEP,
381,105,12-18-2021,G. Martinez,INS-32532,Interim Progress,Pass,82,3,N,,FAA,Follow-up required
382,105,10-13-2020,H. Lee,INS-84857,Fire Safety,Pass,88,3,Y,02/02/2021,FTA,
383,105,01-22-2023,E. Hoffman,INS-73582,Routine Safety,Fail,38,1,Y,2020-10-01,FHWA,
384,105,12-12-2021,I. Jackson,INS-14496,Quality Control,Pass,71,2,N,,Army Corps,Cited violation
385,106,23/12/2019,B. Torres,INS-60678,Interim Progress,Pass,82,3,N,,OSHA,
386,106,2022-08-11,D. Freeman,INS-56014,Routine Safety,Pass,69,0,N,,FAA,Escalated to state
387,107,09/18/2023,C. Richardson,INS-59320,Plumbing,Pass,,2,N,,State DEP,
388,107,2024-08-27,S. Williams,INS-80763,Environmental Compliance,Pass,83,3,Y,2023/02/09,FAA,
389,107,2020-04-11,D. Freeman,INS-17478,Electrical,Fail,52,5,Y,2022/05/18,FAA,
390,107,,M. Chen,TBD,Electrical,Pass,64,3,N,,OSHA,
391,107,10/05/2025,S. Williams,INS-85074,Plumbing,Pass,60,0,YES,,State DEP,
392,107,02-15-2019,H. Lee,INS-26348,Interim Progress,Pass,99,2,Y,,EPA,Closed
393,108,10-14-2022,G. Martinez,INS-83170,Structural,Pass,65,N/A,N,,State DEP,Escalated to state
394,109,27/02/2020,H. Lee,INS-52014,Routine Safety,Fail,64,3,Y,10/06/2024,State DOT,
395,110,2019-04-10,I. Jackson,INS-88575,Structural,,57,0,Y,,FAA,
396,110,2021-04-09,A. Nguyen,INS-19774,Routine Safety,Pass,94,0,Y,06/15/2023,State DOT,Escalated to state
397,111,03-05-2020,S. Williams,INS-60923,Environmental Compliance,Pass,67,3,N,,State DOT,Cited violation
398,111,08/31/2022,A. Nguyen,INS-36806,Environmental Compliance,Fail,54,2,Y,,FAA,Closed
399,112,12-24-2022,I. Jackson,INS-44944,Plumbing,Pass,95,1,N,,FTA,Escalated to state
400,112,01/11/2019,B. Torres,INS-80512,Routine Safety,Pass,58,2,N,,State DEP,
401,112,09-15-2020,D. Freeman,INS-96431,Environmental Compliance,Pass,55,1,,,EPA,Closed
402,113,2019-02-02,H. Lee,INS-82136,Plumbing,Pass with Conditions,94,1,Y,2025-02-20,FTA,
403,113,2021/02/06,K. O'Brien,INS-84258,Interim Progress,Pass,65,3,N,,Local Building Dept,Closed
404,113,2019/10/22,D. Freeman,,Electrical,Pass,78,1,Y,23/08/2022,FTA,Cited violation
405,113,,G. Martinez,INS-79823,Interim Progress,Pass,78,0,N,,FTA,
406,113,07/08/2022,I. Jackson,INS-97697,Structural,Fail,58,3,YES,,EPA,Escalated to state
407,114,01/10/2020,A. Nguyen,INS-79660,Fire Safety,Pass,68,1,N,,OSHA,Escalated to state
408,115,2022/09/16,K. O'Brien,INS-49169,Fire Safety,Fail,64,4,Y,12/24/2020,FHWA,Follow-up required
409,115,02-24-2020,J. Kowalski,INS-22889,Interim Progress,Pass,77,0,N,,OSHA,
410,115,04/06/2023,M. Chen,TBD,Quality Control,Pass,72,,N,,Local Building Dept,Escalated to state
411,116,01-03-2020,C. Richardson,INS-53915,Structural,Pass,74,0,Y,,FTA,Closed
412,116,08-04-2024,C. Richardson,INS-49759,Quality Control,Pass,59,3,N,,Local Building Dept,Closed
413,116,2021-03-30,S. Williams,,Quality Control,Pass,58,3,N,,FTA,Follow-up required
414,116,2019-06-04,K. O'Brien,INS-67843,Structural,Pass,78,0,N,,Army Corps,Closed
415,116,10-11-2021,M. Chen,INS-88081,Final Walkthrough,Pass,90,2,Y,2019-12-24,OSHA,
416,116,12-07-2021,I. Jackson,INS-15797,Structural,Pass,77,2,N,,FTA,
417,117,08/11/2023,R. Patel,INS-92254,Fire Safety,Pass,69,,N,,FTA,
418,117,04-17-2021,M. Chen,INS-26808,Routine Safety,FAIL,82,2,N,,FAA,Closed
419,117,22/02/2020,J. Kowalski,n/a,Plumbing,FAIL,68,2,N,,Army Corps,
420,117,,K. O'Brien,INS-61256,Interim Progress,Pass,,1,N,,Army Corps,Closed
421,117,08/07/2021,H. Lee,INS-28030,Plumbing,Pass,76,3,Y,,Local Building Dept,Closed
422,118,2024-09-04,I. Jackson,INS-86517,Environmental Compliance,Fail,31,7,Y,,FTA,
423,119,08/30/2021,I. Jackson,INS-18963,Fire Safety,Pass,57,1,N,,OSHA,Closed
424,119,11-22-2023,D. Freeman,INS-70352,Environmental Compliance,Pass,79,1,N,,FAA,
425,119,2024/07/29,J. Kowalski,INS-10339,Fire Safety,Pass With Conditions,67,3,N,,EPA,
426,119,03/13/2022,R. Patel,INS-86474,Fire Safety,Pass,72,1,N,,FHWA,
427,119,26/05/2024,D. Freeman,INS-47700,Plumbing,Pass,69,2,N,,State DEP,
428,119,2025-02-23,C. Richardson,INS-30788,Plumbing,Pass,67,0,yes,,Local Building Dept,Escalated to state
429,120,07/07/2024,G. Martinez,INS-16555,Environmental Compliance,Pass,78,2,N,,State DEP,
430,120,2025-04-30,C. Richardson,INS-76343,Environmental Compliance,Pass,64,0,,,FHWA,Escalated to state
431,120,07/24/2021,M. Chen,INS-96360,Environmental Compliance,Pass with Conditions,61,2,Y,27/01/2020,OSHA,
432,120,09-12-2019,D. Freeman,INS-83136,Final Walkthrough,Pass,78,0,yes,2023/03/12,EPA,
433,120,,J. Kowalski,INS-93360,Interim Progress,Pass With Conditions,90,,,,Army Corps,Escalated to state
434,121,2025-04-25,C. Richardson,INS-95575,Structural,Pass with Conditions,71,2,Y,,FAA,Follow-up required
435,121,15/12/2019,I. Jackson,INS-96100,Final Walkthrough,Pass With Conditions,81,2,N,,Army Corps,
436,122,23/08/2020,E. Hoffman,INS-67670,Electrical,FAIL,71,2,y,,OSHA,
437,122,20/01/2020,R. Patel,,Routine Safety,Pass,88,,,01/14/2023,State DEP,Escalated to state
438,122,,K. O'Brien,INS-45891,Final Walkthrough,Pass,82,0,N,,State DEP,Escalated to state
439,123,2019/07/13,M. Chen,INS-96487,Interim Progress,Pass with Conditions,95,3,Y,2020-03-04,FTA,
440,123,03-23-2021,E. Hoffman,INS-93136,Electrical,Pass,71,2,N,,Local Building Dept,Escalated to state
441,124,03-21-2022,E. Hoffman,,Environmental Compliance,Pass,78,1,N,,FAA,
442,124,2021-01-31,M. Chen,INS-19233,Fire Safety,Pass,83,3,Y,2022-04-01,State DEP,
443,125,04-30-2021,R. Patel,INS-89988,Fire Safety,Pass,94,2,N,,OSHA,Follow-up required
444,125,2020-08-27,B. Torres,,Electrical,Pass,99,2,N,,State DOT,
445,125,21/06/2019,D. Freeman,INS-51392,Quality Control,Pass,90,1,Y,01/11/2022,OSHA,Follow-up required
446,126,05/08/2024,G. Martinez,INS-71087,Structural,Pass,80,1,N,,FAA,Follow-up required
447,126,2020-07-30,G. Martinez,INS-47277,Environmental Compliance,Deferred,?,1,Y,,Army Corps,
448,126,2021/10/17,C. Richardson,INS-29208,Environmental Compliance,Fail,48,7,Y,04/07/2020,OSHA,Cited violation
449,126,2022-04-23,S. Williams,INS-57164,Electrical,Fail,49,2,Y,02/19/2022,FAA,
450,126,08/05/2022,E. Hoffman,INS-79770,Electrical,Pass With Conditions,91,2,N,,OSHA,
451,127,2022-02-27,A. Nguyen,INS-35426,Interim Progress,,59,0,N,,FTA,Cited violation
452,127,05/02/2022,E. Hoffman,INS-62633,Routine Safety,Pass,77,0,N,,FHWA,
453,127,2025-01-27,I. Jackson,INS-93595,Final Walkthrough,Fail,40,4,Y,03/26/2021,FTA,Cited violation
454,128,2019-12-14,M. Chen,INS-84283,Fire Safety,Pass,66,0,N,,Army Corps,Cited violation
455,129,06/12/2020,C. Richardson,INS-53471,Final Walkthrough,Fail,44,4,Y,2024-02-22,Army Corps,Closed
456,129,2023-01-10,I. Jackson,INS-56281,Plumbing,Pass With Conditions,68,0,N,,Army Corps,Escalated to state
457,129,2025/01/16,M. Chen,INS-23986,Fire Safety,Pass,59,0,N,,Local Building Dept,Escalated to state
458,130,2019/03/08,C. Richardson,INS-23142,Plumbing,Fail,30,0,N,,FHWA,
459,130,2020/04/08,H. Lee,INS-71751,Interim Progress,Pass,60,-,Y,,Army Corps,Closed
460,130,2024/10/07,G. Martinez,INS-21140,Fire Safety,,59,0,Y,,State DEP,
461,130,27/01/2019,D. Freeman,INS-86130,Routine Safety,Fail,37,8,Y,2019-11-09,OSHA,Cited violation
462,131,17/05/2025,G. Martinez,INS-22381,Electrical,Fail,53,6,Y,03-15-2023,Army Corps,
463,131,10/06/2024,E. Hoffman,INS-23662,Final Walkthrough,Pass With Conditions,80,3,no,,FAA,Cited violation
464,132,2024-10-11,D. Freeman,INS-95626,Electrical,Pass,87,2,N,,State DEP,
465,133,07/12/2024,I. Jackson,,Electrical,Pass,96,1,N,,EPA,
466,133,2021/01/23,M. Chen,INS-38499,Interim Progress,PASS,76,3,y,,FTA,
467,133,2021-03-20,I. Jackson,INS-14204,Quality Control,Pass,65,,YES,,State DEP,
468,133,01-10-2021,H. Lee,INS-62920,Routine Safety,Pass,89,2,y,11-11-2022,State DEP,
469,133,2023-07-24,M. Chen,INS-64488,Quality Control,Pass,77,2,N,,State DEP,Escalated to state
470,135,2024-05-31,G. Martinez,INS-34495,Routine Safety,Pass,99,0,N,,EPA,Cited violation
471,135,08-18-2022,E. Hoffman,INS-57713,Quality Control,Fail,,7,Y,,FHWA,
472,135,12/09/2020,E. Hoffman,INS-33693,Electrical,Pass with Conditions,68,1,Y,10-30-2021,State DEP,Escalated to state
473,135,2020-12-25,D. Freeman,INS-37640,Plumbing,PASS,90,2,Y,2021/05/07,State DEP,
474,135,2019/01/23,G. Martinez,INS-39211,Interim Progress,FAIL,58,2,N,,State DEP,Follow-up required
475,136,14/04/2020,D. Freeman,INS-64145,Quality Control,Pass,61,3,N,,FTA,
476,137,05-05-2020,A. Nguyen,INS-76583,Interim Progress,Pass,60,3,N,,FHWA,Escalated to state
477,137,2024/01/27,G. Martinez,INS-55219,Quality Control,Pass,57,1,N,,State DEP,
478,137,05/27/2023,J. Kowalski,INS-33443,Interim Progress,Pass,57,2,N,,OSHA,
479,137,2021/11/29,R. Patel,INS-73422,Plumbing,Fail,37,8,Y,2025-03-14,EPA,Closed
480,137,03-29-2025,H. Lee,INS-93257,Plumbing,Pass,61,0,N,,Army Corps,Closed
481,137,08-30-2020,H. Lee,INS-16741,Final Walkthrough,Pass,73,3,N,,FHWA,
482,138,01-16-2025,H. Lee,INS-79721,Structural,Pass,78,3,N,,FTA,Closed
483,138,04/09/2019,M. Chen,INS-60513,Final Walkthrough,Pass,73,1,N,,OSHA,Escalated to state
484,138,2020-05-07,H. Lee,INS-43451,Routine Safety,Pass,86,2,yes,,State DEP,Cited violation
485,139,06-28-2019,R. Patel,INS-82469,Fire Safety,Pass,59,1,N,,Local Building Dept,
486,139,,G. Martinez,INS-75569,Quality Control,Pass,98,0,Y,2025/02/08,Local Building Dept,
487,140,2019-10-12,D. Freeman,INS-17924,Interim Progress,Pass with Conditions,66,0,Y,01/04/2019,Army Corps,Escalated to state
488,141,30/10/2021,B. Torres,,Quality Control,Pass,67,2,N,,FAA,
489,142,2020/10/25,C. Richardson,INS-70964,Quality Control,FAIL,,1,N,,FTA,
490,143,08/27/2019,E. Hoffman,INS-54971,Quality Control,FAIL,50,2,Y,17/07/2023,Army Corps,
491,144,01-24-2022,B. Torres,INS-18350,Environmental Compliance,Pass,79,1,No,,Army Corps,
492,144,15/09/2021,I. Jackson,INS-15446,Quality Control,Fail,53,4,Y,25/03/2021,FAA,Follow-up required
493,144,08/06/2022,C. Richardson,INS-45713,Interim Progress,pass,88,2,N,,FAA,Escalated to state
494,144,2019/10/29,E. Hoffman,INS-76752,Final Walkthrough,Pass,59,1,N,,State DEP,
495,144,2019/09/10,A. Nguyen,INS-13801,Quality Control,PASS,59,0,N,,FTA,
496,145,2024/08/09,S. Williams,,Quality Control,Pass with Conditions,81,1,Y,11/01/2021,EPA,
497,145,2025-03-17,H. Lee,,Interim Progress,Pass,97,1,Y,12/24/2019,State DOT,Follow-up required
498,145,2022-03-17,K. O'Brien,INS-28585,Fire Safety,Pass,66,3,N,,State DOT,Escalated to state
499,145,,K. O'Brien,INS-77839,Electrical,PASS,83,n/a,N,,EPA,
500,145,2019-06-01,M. Chen,INS-98569,Environmental Compliance,Pass,76,3,Y,24/07/2024,FAA,Follow-up required
501,146,01-03-2024,C. Richardson,INS-71016,Interim Progress,Pass,89,3,N,,OSHA,
502,147,10/06/2020,R. Patel,INS-30849,Quality Control,Pass,86,2,Y,15/09/2020,FAA,Follow-up required
503,147,03-14-2021,G. Martinez,INS-91356,Fire Safety,Pass,73,0,N,,Local Building Dept,Closed
504,147,2023/10/12,G. Martinez,INS-87871,Electrical,Pass with Conditions,90,1,Y,19/05/2019,Local Building Dept,
505,147,2024/12/21,A. Nguyen,INS-21865,Environmental Compliance,Deferred,,2,N,,FAA,
506,147,22/11/2019,I. Jackson,INS-88137,Structural,fail,92,3,N,12/15/2019,OSHA,Escalated to state
507,148,2019/09/16,K. O'Brien,,Quality Control,Pass with Conditions,63,0,Y,,State DOT,Escalated to state
508,148,2020-09-22,G. Martinez,INS-46890,Structural,pass,98,3,N,,FAA,Cited violation
509,148,09/11/2021,J. Kowalski,INS-61912,Routine Safety,Pass,99,3,N,,State DOT,
510,149,2020/12/13,B. Torres,,Plumbing,Pass With Conditions,62,7,Y,2020/11/07,EPA,
511,149,17/02/2021,K. O'Brien,,Structural,Pass,57,0,Y,31/07/2024,FAA,
512,149,11/05/2025,S. Williams,INS-92673,Quality Control,Pass,85,1,N,,State DEP,Cited violation
513,149,2025/05/10,R. Patel,INS-67827,Interim Progress,Pass,95,0,Y,2021/08/16,Local Building Dept,Escalated to state
514,149,2023-11-21,R. Patel,INS-63397,Environmental Compliance,Pass,62,0,N,02-29-2020,FTA,Closed
515,149,2020-11-08,A. Nguyen,INS-48728,Environmental Compliance,pass,66,2,N,,OSHA,Closed
516,150,15/11/2019,S. Williams,INS-17635,Final Walkthrough,,73,3,,10-04-2019,FAA,Follow-up required
517,150,2022/07/29,I. Jackson,INS-16839,Final Walkthrough,Pass,63,0,N,,State DOT,Closed
518,150,,R. Patel,INS-61130,Interim Progress,Pass,67,1,N,,State DEP,Cited violation
519,151,2021/01/07,C. Richardson,INS-70106,Quality Control,FAIL,60,,Y,03-14-2021,Army Corps,
520,151,20/04/2021,A. Nguyen,INS-28216,Plumbing,Pass,,3,Y,2020/10/25,FHWA,
521,151,2023/10/01,E. Hoffman,INS-47126,Quality Control,Pass,91,3,N,,State DEP,Follow-up required
522,151,2021/12/08,G. Martinez,INS-61910,Fire Safety,Pass,72,TBD,N,,State DEP,
523,152,2020/01/05,H. Lee,INS-38684,Environmental Compliance,Pass,89,2,N,,Army Corps,
524,152,2022-07-31,S. Williams,INS-16469,Routine Safety,Pass,68,0,YES,,EPA,
525,153,10/07/2019,J. Kowalski,INS-95517,Environmental Compliance,Pass,-,1,No,,State DOT,Cited violation
526,153,2022/10/04,B. Torres,N/A,Environmental Compliance,Pass,75,2,Y,,EPA,Closed
527,153,08/17/2024,I. Jackson,INS-51987,Quality Control,Pass,69,N/A,N,,Local Building Dept,Follow-up required
528,153,11-18-2019,K. O'Brien,,Structural,Pass,58,0,N,,Army Corps,
529,153,2023/06/17,M. Chen,INS-62890,Environmental Compliance,Pass,92,0,N,,EPA,
530,154,15/01/2019,B. Torres,INS-85296,Fire Safety,Pass,62,2,No,,State DOT,
531,154,03/07/2022,B. Torres,INS-94062,Fire Safety,Pass,55,2,Y,08/21/2022,Local Building Dept,
532,154,08-01-2019,E. Hoffman,INS-30082,Quality Control,Pass,91,0,,,FTA,
533,154,29/09/2020,E. Hoffman,INS-34656,Fire Safety,Pass with Conditions,,,Y,2021/08/24,Army Corps,
534,155,06-23-2024,B. Torres,INS-76067,Plumbing,Fail,47,2,Y,01/07/2025,OSHA,
535,156,2022-04-05,C. Richardson,INS-55594,Interim Progress,PASS,78,0,N,,FAA,
536,156,06/01/2023,K. O'Brien,INS-90396,Environmental Compliance,Pass,-,0,N,,EPA,Escalated to state
537,156,04/01/2025,S. Williams,INS-42107,Electrical,Pass,93,3,N,,State DOT,
538,156,,G. Martinez,INS-24720,Fire Safety,Pass,73,3,N,,State DOT,
539,156,13/09/2019,K. O'Brien,INS-50731,Structural,,61,3,N,,FAA,Follow-up required
